date,code,usdprice
#date,#meta+code,#value+usd
2007-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.13
2007-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.42
2007-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.42
2007-04-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.59
2007-04-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.59
2007-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.54
2007-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.54
2007-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.45
2007-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.45
2007-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.61
2007-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.61
2007-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.77
2007-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.99
2007-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.96
2007-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.96
2008-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.93
2008-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.93
2008-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.22
2008-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.85
2008-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.85
2008-04-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.79
2008-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.92
2008-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.92
2008-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.92
2008-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.03
2008-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.03
2008-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.47
2008-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.47
2008-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.3
2008-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.3
2008-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.4
2008-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.89
2008-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.89
2008-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.89
2009-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.94
2009-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.94
2009-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.76
2009-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.76
2009-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.76
2009-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4
2009-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4
2009-04-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.18
2009-04-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.18
2009-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.99
2009-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.05
2009-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.27
2009-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.27
2009-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.27
2009-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.32
2009-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.32
2009-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.26
2009-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.97
2009-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.97
2010-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.14
2010-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.14
2010-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.03
2010-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.93
2010-04-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.91
2010-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.71
2010-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.71
2010-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.49
2010-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.63
2010-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.82
2010-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.87
2010-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.05
2010-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.05
2010-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.95
2011-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.45
2011-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.24
2011-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.36
2011-04-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.81
2011-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.79
2011-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.79
2011-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.79
2011-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.55
2011-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.29
2011-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.64
2011-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.64
2011-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.49
2011-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.42
2011-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.42
2012-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.85
2012-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.87
2012-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.87
2012-04-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.72
2012-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.66
2012-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.66
2012-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.7
2012-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.7
2012-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.54
2012-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.44
2012-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.44
2012-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.03
2012-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.23
2013-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.3
2013-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.47
2013-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.47
2013-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.48
2013-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.48
2013-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5
2013-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5
2013-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5
2013-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5
2013-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5.1
2013-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5.1
2013-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5.2
2013-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5.2
2013-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.65
2014-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.89
2014-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.79
2014-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.79
2014-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.43
2014-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.43
2014-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.43
2014-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5.35
2014-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5.35
2014-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.87
2014-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.87
2014-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.87
2014-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.93
2014-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.8
2014-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.73
2014-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.73
2014-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.73
2015-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.26
2015-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.29
2015-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.94
2015-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.94
2015-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.57
2015-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.37
2015-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.8
2015-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.8
2015-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.67
2015-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.67
2015-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.53
2015-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.01
2015-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.01
2016-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.41
2016-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.41
2016-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.47
2016-04-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.9
2016-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.07
2016-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.72
2016-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.11
2016-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.09
2016-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.09
2016-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.71
2016-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.31
2016-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.52
2016-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.52
2016-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.74
2017-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.66
2017-04-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.83
2017-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.55
2017-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.55
2017-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.51
2017-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.51
2017-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.64
2017-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.68
2017-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.68
2018-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.17
2018-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.28
2018-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.27
2018-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.85
2018-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.85
2018-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.77
2018-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.85
2018-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.85
2018-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.45
2018-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.45
2019-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.97
2019-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.94
2019-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.04
2019-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5.18
2019-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5.18
2019-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.79
2019-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.79
2019-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.24
2019-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.03
2019-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.03
2019-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.89
2019-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.02
2019-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.02
2020-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.19
2020-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.83
2020-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.62
2020-04-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.25
2020-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.99
2020-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.73
2020-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.06
2020-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.28
2020-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.28
2020-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5.85
2020-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5.85
2020-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5.85
2021-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.07
2021-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.52
2021-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.52
2021-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.78
2021-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.78
2021-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.82
2021-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.66
2021-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5.08
2021-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5.08
2021-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5.05
2021-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,5.05
2014-05-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.76
2014-07-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.82
2014-08-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.72
2014-08-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.72
2014-08-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.72
2014-09-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.58
2014-09-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.58
2014-10-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.52
2014-10-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.52
2014-11-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.54
2015-01-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.38
2015-01-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.38
2015-02-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.42
2015-02-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.42
2015-03-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.23
2015-07-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.57
2015-07-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.57
2015-07-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.57
2015-08-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.69
2015-09-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.67
2015-11-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.53
2015-12-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.62
2016-02-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.6
2016-03-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.53
2016-03-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.53
2016-03-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.53
2016-03-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.53
2016-04-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.57
2016-05-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.61
2016-06-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.64
2016-07-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.63
2016-07-15,West Bank-Tulkarm-Tulkarem-Tea-KG-Retail-ILS,3.63
